W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,yearID,CyYoung
19,14,42,40,19,7,1,965,244,82,22,96,213,0.21,2.29,2,8,5,0,1276,2,92,0,0,0,1975,0
20,15,41,41,16,7,0,963,293,95,17,74,183,0.24,2.66,8,8,6,0,1291,0,103,0,0,0,1969,0
20,19,42,42,22,1,0,961,305,128,27,80,169,0.25,3.6,8,5,9,0,1316,0,143,0,0,0,1974,0
20,11,39,39,22,3,0,957,263,103,24,99,193,0.22,2.91,1,7,3,0,1269,0,106,0,0,0,1977,0
25,12,41,41,23,6,0,955,268,88,25,46,143,0.22,2.49,2,1,4,0,1240,0,97,0,0,0,1974,0
25,12,41,41,23,6,0,955,268,88,25,46,143,0.22,2.49,2,1,4,0,1240,0,97,0,0,0,1974,0
20,12,41,40,16,2,1,947,244,82,22,74,247,0.21,2.34,4,9,10,0,1263,1,96,0,0,0,1969,0
20,14,40,40,19,2,0,947,280,113,15,130,241,0.23,3.22,5,7,9,1,1348,0,124,0,0,0,1973,0
22,14,40,40,25,5,0,946,274,96,15,50,93,0.23,2.74,9,0,4,1,1251,0,109,0,0,0,1976,0
22,14,40,40,25,5,0,946,274,96,15,50,93,0.23,2.74,9,0,4,1,1251,0,109,0,0,0,1976,0
22,13,40,40,23,6,0,945,255,88,20,84,159,0.22,2.51,5,5,8,0,1256,0,101,0,0,0,1976,0
22,13,40,40,23,6,0,945,255,88,20,84,159,0.22,2.51,5,5,8,0,1256,0,101,0,0,0,1976,0
22,13,40,40,23,6,0,945,255,88,20,84,159,0.22,2.51,5,5,8,0,1256,0,101,0,0,0,1976,0
20,12,43,36,22,4,1,943,297,111,21,87,135,0.25,3.18,5,6,3,1,1287,2,133,0,0,0,1973,0
20,13,35,35,28,4,0,942,251,76,12,95,269,0.21,2.18,7,4,10,2,1270,0,84,0,0,0,1969,0
22,16,40,39,24,3,0,939,265,118,30,60,274,0.22,3.39,6,9,7,0,1265,1,128,0,0,0,1970,0
24,8,39,39,24,8,0,936,209,63,19,88,301,0.18,1.82,3,10,4,1,1207,0,73,0,0,0,1971,0
24,8,39,39,24,8,0,936,209,63,19,88,301,0.18,1.82,3,10,4,1,1207,0,73,0,0,0,1971,0
24,8,39,39,24,8,0,936,209,63,19,88,301,0.18,1.82,3,10,4,1,1207,0,73,0,0,0,1971,0
21,15,43,42,23,7,1,934,284,111,27,71,273,0.24,3.21,15,7,8,1,1275,1,122,0,0,0,1969,0
22,13,38,38,25,7,0,934,281,101,21,82,176,0.24,2.92,3,1,4,0,1266,0,106,0,0,0,1974,0
16,15,42,42,17,3,0,926,315,131,35,79,214,0.26,3.82,7,12,5,0,1286,0,143,0,0,0,1973,0
20,15,40,40,20,3,0,924,255,90,26,65,260,0.22,2.63,7,6,3,1,1231,0,96,0,0,0,1968,0
16,21,41,41,27,3,0,924,310,142,38,78,202,0.26,4.15,11,10,3,0,1263,0,155,0,0,0,1974,0
20,13,39,37,20,4,0,916,240,79,18,72,232,0.21,2.33,6,9,1,0,1207,0,97,0,0,0,1969,0
20,10,39,39,17,5,0,915,263,92,21,100,199,0.23,2.71,4,10,1,3,1257,0,98,0,0,0,1970,0
20,12,39,39,19,1,0,915,236,99,25,131,304,0.21,2.92,10,17,7,0,1257,2,108,0,0,0,1970,0
20,12,39,39,19,1,0,915,236,99,25,131,304,0.21,2.92,10,17,7,0,1257,2,108,0,0,0,1970,0
22,9,34,34,28,13,0,914,198,38,11,62,268,0.18,1.12,6,4,7,0,1161,0,49,0,0,0,1968,0
22,9,34,34,28,13,0,914,198,38,11,62,268,0.18,1.12,6,4,7,0,1161,0,49,0,0,0,1968,0
